"{'ALTITUDE-DEG': 56.10179115655, 'AZIMUTH-DEG': 116.34534074364, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27414219485, 'DECLINATION-DEG': 23.26755803984, 'DRA_COSDEC-DEG_PER_SEC': 0.08478041819, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.20371066, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.65570843869496, 4622.497193704873, 4381.516894721358], 'PHASE_ANGLE-DEG': 37.08170414017, 'RANGE-KM': 1408.051039451366, 'RANGE_RATE-KM_PER_SEC': -1.770009138515, 'RIGHT_ASCENSION-DEG': 124.37635523643, 'SATELLITE_GCRS_KM': [-840.0195155166978, 5690.111491010921, 4937.732816102907], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.11544832483, 'AZIMUTH-DEG': 116.30031568331, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27419631677, 'DECLINATION-DEG': 23.29496961271, 'DRA_COSDEC-DEG_PER_SEC': 0.08482849137, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203711817, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.68940793711607, 4622.496319410602, 4381.516973578118], 'PHASE_ANGLE-DEG': 37.08193661352, 'RANGE-KM': 1407.874220127039, 'RANGE_RATE-KM_PER_SEC': -1.767088219228, 'RIGHT_ASCENSION-DEG': 124.38558542234, 'SATELLITE_GCRS_KM': [-839.9831057825371, 5689.639189872484, 4938.281761085344], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.12909648233, 'AZIMUTH-DEG': 116.25522895391, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27425036324, 'DECLINATION-DEG': 23.3223976262, 'DRA_COSDEC-DEG_PER_SEC': 0.0848766032, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037129747, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.72312099044349, 4622.495444518662, 4381.5170524666055], 'PHASE_ANGLE-DEG': 37.08218709479, 'RANGE-KM': 1407.697621913264, 'RANGE_RATE-KM_PER_SEC': -1.764165006977, 'RIGHT_ASCENSION-DEG': 124.39482646301, 'SATELLITE_GCRS_KM': [-839.9466737187454, 5689.1666466674415, 4938.830881729441], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.14272461176, 'AZIMUTH-DEG': 116.21011682121, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27430429059, 'DECLINATION-DEG': 23.34982000458, 'DRA_COSDEC-DEG_PER_SEC': 0.08492471494, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203714132, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.75682047610978, 4622.49456973291, 4381.517131323354], 'PHASE_ANGLE-DEG': 37.08245539464, 'RANGE-KM': 1407.521386996161, 'RANGE_RATE-KM_PER_SEC': -1.761241854736, 'RIGHT_ASCENSION-DEG': 124.40407093152, 'SATELLITE_GCRS_KM': [-839.9102486357128, 5688.694241563764, 4939.379736259523], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.15634364413, 'AZIMUTH-DEG': 116.16494297119, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27435814211, 'DECLINATION-DEG': 23.37725880838, 'DRA_COSDEC-DEG_PER_SEC': 0.08497286535, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037152895, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.7905335166743, 4622.493694349293, 4381.51721021183], 'PHASE_ANGLE-DEG': 37.08274174121, 'RANGE-KM': 1407.345373648552, 'RANGE_RATE-KM_PER_SEC': -1.758316411398, 'RIGHT_ASCENSION-DEG': 124.41332627563, 'SATELLITE_GCRS_KM': [-839.8738012180069, 5688.221594361351, 4939.928766403522], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.16994258561, 'AZIMUTH-DEG': 116.11974373992, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27441187425, 'DECLINATION-DEG': 23.40469195329, 'DRA_COSDEC-DEG_PER_SEC': 0.08502101566, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037164466, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.82423298957919, 4622.492819072063, 4381.517289068568], 'PHASE_ANGLE-DEG': 37.08304591623, 'RANGE-KM': 1407.169723584808, 'RANGE_RATE-KM_PER_SEC': -1.755391031588, 'RIGHT_ASCENSION-DEG': 124.42258505696, 'SATELLITE_GCRS_KM': [-839.8373607876875, 5687.749085309674, 4940.477530461176], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.18353234365, 'AZIMUTH-DEG': 116.0744827437, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27446553009, 'DECLINATION-DEG': 23.43214150846, 'DRA_COSDEC-DEG_PER_SEC': 0.08506920461, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037176043, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.85794601726926, 4622.491943196769, 4381.517367957032], 'PHASE_ANGLE-DEG': 37.08336817661, 'RANGE-KM': 1406.994295548276, 'RANGE_RATE-KM_PER_SEC': -1.75246336213, 'RIGHT_ASCENSION-DEG': 124.4318547348, 'SATELLITE_GCRS_KM': [-839.800898016977, 5687.276334124996, 4941.026470087605], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.19710194786, 'AZIMUTH-DEG': 116.02919638934, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27451906634, 'DECLINATION-DEG': 23.45958538079, 'DRA_COSDEC-DEG_PER_SEC': 0.08511739344, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037187614, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.89164547751008, 4622.491067428057, 4381.517446813759], 'PHASE_ANGLE-DEG': 37.08370827513, 'RANGE-KM': 1406.81923078287, 'RANGE_RATE-KM_PER_SEC': -1.749535759929, 'RIGHT_ASCENSION-DEG': 124.4411278592, 'SATELLITE_GCRS_KM': [-839.7644422407141, 5686.80372114264, 4941.575143652754], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.21066228202, 'AZIMUTH-DEG': 115.98384822349, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27457252588, 'DECLINATION-DEG': 23.48704564799, 'DRA_COSDEC-DEG_PER_SEC': 0.08516562092, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203719919, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.92535849242354, 4622.490191061086, 4381.517525702213], 'PHASE_ANGLE-DEG': 37.08406649747, 'RANGE-KM': 1406.644388503078, 'RANGE_RATE-KM_PER_SEC': -1.7466058699, 'RIGHT_ASCENSION-DEG': 124.45041190101, 'SATELLITE_GCRS_KM': [-839.7279641188074, 5686.330865995781, 4942.123992738267], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.22420239946, 'AZIMUTH-DEG': 115.93847472311, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27462586549, 'DECLINATION-DEG': 23.51450020851, 'DRA_COSDEC-DEG_PER_SEC': 0.08521384823, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.2037210763, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.95905793978334, 4622.4893148009, 4381.517604558929], 'PHASE_ANGLE-DEG': 37.0844425674, 'RANGE-KM': 1406.4699094799, 'RANGE_RATE-KM_PER_SEC': -1.743676050153, 'RIGHT_ASCENSION-DEG': 124.45969939885, 'SATELLITE_GCRS_KM': [-839.6914929978909, 5685.858149099491, 4942.672575791501], 'TLE-DATE': '2024-03-08 00:36:11'}"
"{'ALTITUDE-DEG': 56.23773316017, 'AZIMUTH-DEG': 115.89303936526, 'CATALOG_ID': 48221, 'DATA_SOURCE': 'spacetrack', 'DDEC-DEG_PER_SEC': 0.27467912803, 'DECLINATION-DEG': 23.54197114859, 'DRA_COSDEC-DEG_PER_SEC': 0.08526211421, 'ILLUMINATED': True, 'JULIAN_DATE': 2460368.203722234, 'NAME': 'ONEWEB-0187', 'OBSERVER_GCRS_KM': [-109.99277094201524, 4622.488437942251, 4381.517683447372], 'PHASE_ANGLE-DEG': 37.08483679949, 'RANGE-KM': 1406.295653399195, 'RANGE_RATE-KM_PER_SEC': -1.740743944669, 'RIGHT_ASCENSION-DEG': 124.46899783511, 'SATELLITE_GCRS_KM': [-839.6549995256131, 5685.3851900044365, 4943.221334319926], 'TLE-DATE': '2024-03-08 00:36:11'}"
